Structure,,,,,,,,Case 1,,,,,,,Difference,,,,,
element,type,node_i,node_j,length,axial_force,,,element,type,node_i,node_j,length,axial_force,,element,type,node_i,node_j,length,axial_force
91,3d_truss,7,19,32.80243893,-22.90595712,,,91,3d_truss,7,19,32.80243893,-20.73115108,,91,3d_truss,7,19,32.80243893,-2.174806032
92,3d_truss,19,9,32.80243893,32.37963248,,,92,3d_truss,19,9,32.80243893,34.51858284,,92,3d_truss,19,9,32.80243893,-2.138950363
93,3d_truss,9,21,32.80243893,-27.50156176,,,93,3d_truss,9,21,32.80243893,-25.5881139,,93,3d_truss,9,21,32.80243893,-1.913447858
94,3d_truss,21,11,32.80243893,5.455206602,,,94,3d_truss,21,11,32.80243893,6.999717516,,94,3d_truss,21,11,32.80243893,-1.544510914
95,3d_truss,23,35,32.80243893,191.2685042,,,95,3d_truss,23,35,32.80243893,192.8130151,,95,3d_truss,23,35,32.80243893,-1.544510914
96,3d_truss,35,25,32.80243893,-123.9355488,,,96,3d_truss,35,25,32.80243893,-122.022101,,96,3d_truss,35,25,32.80243893,-1.913447858
97,3d_truss,25,37,32.80243893,74.37705822,,,97,3d_truss,25,37,32.80243893,76.51600858,,97,3d_truss,25,37,32.80243893,-2.138950363
98,3d_truss,37,27,32.80243893,-38.53451449,,,98,3d_truss,37,27,32.80243893,-36.35970846,,98,3d_truss,37,27,32.80243893,-2.174806032
99,3d_truss,27,39,32.80243893,12.10116173,,,99,3d_truss,27,39,32.80243893,14.28125821,,99,3d_truss,27,39,32.80243893,-2.180096481
100,3d_truss,39,29,32.80243893,8.135905631,,,100,3d_truss,39,29,32.80243893,10.31600211,,100,3d_truss,39,29,32.80243893,-2.180096481
101,3d_truss,29,41,32.80243893,-30.86692825,,,101,3d_truss,29,41,32.80243893,-28.69212221,,101,3d_truss,29,41,32.80243893,-2.174806032
102,3d_truss,41,31,32.80243893,57.23602976,,,102,3d_truss,41,31,32.80243893,59.37498013,,102,3d_truss,41,31,32.80243893,-2.138950363
103,3d_truss,31,43,32.80243893,-98.38782208,,,103,3d_truss,31,43,32.80243893,-96.47437422,,103,3d_truss,31,43,32.80243893,-1.913447858
104,3d_truss,43,33,32.80243893,153.3812736,,,104,3d_truss,43,33,32.80243893,154.9257846,,104,3d_truss,43,33,32.80243893,-1.544510914
105,3d_truss,1,24,30.26962174,-127.4770967,,,105,3d_truss,1,24,30.26962174,-64.45750218,,105,3d_truss,1,24,30.26962174,-63.0195945
106,3d_truss,23,2,30.26962174,110.9773835,,,106,3d_truss,23,2,30.26962174,173.996978,,106,3d_truss,23,2,30.26962174,-63.0195945
