Structure,,,,,,,,Case 1,,,,,,,Difference,,,,,
element,type,node_i,node_j,length,axial_force,,,element,type,node_i,node_j,length,axial_force,,element,type,node_i,node_j,length,axial_force
76,3d_frame,25,36,20,0.088262829,,,76,3d_frame,25,36,20,143.011983,,76,3d_frame,25,36,20,142.9237202
77,3d_frame,26,37,20,9.917584694,,,77,3d_frame,26,37,20,152.3829145,,77,3d_frame,26,37,20,142.4653298
78,3d_frame,27,38,20,0.05959514,,,78,3d_frame,27,38,20,142.9224689,,78,3d_frame,27,38,20,142.8628737
79,3d_frame,28,39,20,9.965359268,,,79,3d_frame,28,39,20,152.4444801,,79,3d_frame,28,39,20,142.4791209
80,3d_frame,29,40,20,0.05959514,,,80,3d_frame,29,40,20,142.9224689,,80,3d_frame,29,40,20,142.8628737
81,3d_frame,30,41,20,9.917584694,,,81,3d_frame,30,41,20,152.3829145,,81,3d_frame,30,41,20,142.4653298
82,3d_frame,31,42,20,0.088262829,,,82,3d_frame,31,42,20,143.011983,,82,3d_frame,31,42,20,142.9237202
83,3d_frame,32,43,20,8.935410069,,,83,3d_frame,32,43,20,151.1541199,,83,3d_frame,32,43,20,142.2187098
84,3d_frame,33,44,20,-0.068631694,,,84,3d_frame,33,44,20,143.6059312,,84,3d_frame,33,44,20,143.6745628
85,3d_truss,1,13,32.80243893,-72.07387817,,,85,3d_truss,1,13,32.80243893,-69.94969208,,85,3d_truss,1,13,32.80243893,2.124186085
86,3d_truss,13,3,32.80243893,57.30031736,,,86,3d_truss,13,3,32.80243893,59.48034914,,86,3d_truss,13,3,32.80243893,2.180031776
87,3d_truss,3,15,32.80243893,-40.72170775,,,87,3d_truss,3,15,32.80243893,-38.53908877,,87,3d_truss,3,15,32.80243893,2.182618982
88,3d_truss,15,5,32.80243893,24.44428557,,,88,3d_truss,15,5,32.80243893,26.62598516,,88,3d_truss,15,5,32.80243893,2.181699596
89,3d_truss,5,17,32.80243893,-8.172370454,,,89,3d_truss,5,17,32.80243893,-5.991101345,,89,3d_truss,5,17,32.80243893,2.181269109
90,3d_truss,17,7,32.80243893,-8.172370454,,,90,3d_truss,17,7,32.80243893,-5.991101345,,90,3d_truss,17,7,32.80243893,2.181269109
91,3d_truss,7,19,32.80243893,24.44428557,,,91,3d_truss,7,19,32.80243893,26.62598516,,91,3d_truss,7,19,32.80243893,2.181699596
92,3d_truss,19,9,32.80243893,-40.72170775,,,92,3d_truss,19,9,32.80243893,-38.53908877,,92,3d_truss,19,9,32.80243893,2.182618982
93,3d_truss,9,21,32.80243893,57.30031736,,,93,3d_truss,9,21,32.80243893,59.48034914,,93,3d_truss,9,21,32.80243893,2.180031776
94,3d_truss,21,11,32.80243893,-72.07387817,,,94,3d_truss,21,11,32.80243893,-69.94969208,,94,3d_truss,21,11,32.80243893,2.124186085
95,3d_truss,23,35,32.80243893,-72.07387817,,,95,3d_truss,23,35,32.80243893,-69.94969208,,95,3d_truss,23,35,32.80243893,2.124186085
96,3d_truss,35,25,32.80243893,57.30031736,,,96,3d_truss,35,25,32.80243893,59.48034914,,96,3d_truss,35,25,32.80243893,2.180031776
97,3d_truss,25,37,32.80243893,-40.72170775,,,97,3d_truss,25,37,32.80243893,-38.53908877,,97,3d_truss,25,37,32.80243893,2.182618982
98,3d_truss,37,27,32.80243893,24.44428557,,,98,3d_truss,37,27,32.80243893,26.62598516,,98,3d_truss,37,27,32.80243893,2.181699596
99,3d_truss,27,39,32.80243893,-8.172370454,,,99,3d_truss,27,39,32.80243893,-5.991101345,,99,3d_truss,27,39,32.80243893,2.181269109
100,3d_truss,39,29,32.80243893,-8.172370454,,,100,3d_truss,39,29,32.80243893,-5.991101345,,100,3d_truss,39,29,32.80243893,2.181269109
101,3d_truss,29,41,32.80243893,24.44428557,,,101,3d_truss,29,41,32.80243893,26.62598516,,101,3d_truss,29,41,32.80243893,2.181699596
102,3d_truss,41,31,32.80243893,-40.72170775,,,102,3d_truss,41,31,32.80243893,-38.53908877,,102,3d_truss,41,31,32.80243893,2.182618982
103,3d_truss,31,43,32.80243893,57.30031736,,,103,3d_truss,31,43,32.80243893,59.48034914,,103,3d_truss,31,43,32.80243893,2.180031776
104,3d_truss,43,33,32.80243893,-72.07387817,,,104,3d_truss,43,33,32.80243893,-69.94969208,,104,3d_truss,43,33,32.80243893,2.124186085
105,3d_truss,1,24,30.26962174,7.454030437,,,105,3d_truss,1,24,30.26962174,70.4247439,,105,3d_truss,1,24,30.26962174,62.97071346
106,3d_truss,23,2,30.26962174,7.454030437,,,106,3d_truss,23,2,30.26962174,70.4247439,,106,3d_truss,23,2,30.26962174,62.97071346
107,3d_truss,2,25,30.26962174,7.056774902,,,107,3d_truss,2,25,30.26962174,74.47778663,,107,3d_truss,2,25,30.26962174,67.42101173
108,3d_truss,24,3,30.26962174,7.056774902,,,108,3d_truss,24,3,30.26962174,74.47778663,,108,3d_truss,24,3,30.26962174,67.42101173
109,3d_truss,3,26,30.26962174,17.26529929,,,109,3d_truss,3,26,30.26962174,84.60881572,,109,3d_truss,3,26,30.26962174,67.34351643
110,3d_truss,25,4,30.26962174,17.26529929,,,110,3d_truss,25,4,30.26962174,84.60881572,,110,3d_truss,25,4,30.26962174,67.34351643
111,3d_truss,4,27,30.26962174,17.04134673,,,111,3d_truss,4,27,30.26962174,84.38550186,,111,3d_truss,4,27,30.26962174,67.34415513
112,3d_truss,26,5,30.26962174,17.04134673,,,112,3d_truss,26,5,30.26962174,84.38550186,,112,3d_truss,26,5,30.26962174,67.34415513
113,3d_truss,5,28,30.26962174,20.43931445,,,113,3d_truss,5,28,30.26962174,87.7836577,,113,3d_truss,5,28,30.26962174,67.34434326
114,3d_truss,27,6,30.26962174,20.43931445,,,114,3d_truss,27,6,30.26962174,87.7836577,,114,3d_truss,27,6,30.26962174,67.34434326
115,3d_truss,6,29,30.26962174,20.43931445,,,115,3d_truss,6,29,30.26962174,87.7836577,,115,3d_truss,6,29,30.26962174,67.34434326
116,3d_truss,28,7,30.26962174,20.43931445,,,116,3d_truss,28,7,30.26962174,87.7836577,,116,3d_truss,28,7,30.26962174,67.34434326
117,3d_truss,7,30,30.26962174,17.04134673,,,117,3d_truss,7,30,30.26962174,84.38550186,,117,3d_truss,7,30,30.26962174,67.34415513
118,3d_truss,29,8,30.26962174,17.04134673,,,118,3d_truss,29,8,30.26962174,84.38550186,,118,3d_truss,29,8,30.26962174,67.34415513
119,3d_truss,8,31,30.26962174,17.26529929,,,119,3d_truss,8,31,30.26962174,84.60881572,,119,3d_truss,8,31,30.26962174,67.34351643
120,3d_truss,30,9,30.26962174,17.26529929,,,120,3d_truss,30,9,30.26962174,84.60881572,,120,3d_truss,30,9,30.26962174,67.34351643
121,3d_truss,9,32,30.26962174,7.056774902,,,121,3d_truss,9,32,30.26962174,74.47778663,,121,3d_truss,9,32,30.26962174,67.42101173
122,3d_truss,31,10,30.26962174,7.056774902,,,122,3d_truss,31,10,30.26962174,74.47778663,,122,3d_truss,31,10,30.26962174,67.42101173
123,3d_truss,10,33,30.26962174,7.454030437,,,123,3d_truss,10,33,30.26962174,70.4247439,,123,3d_truss,10,33,30.26962174,62.97071346
124,3d_truss,32,11,30.26962174,7.454030437,,,124,3d_truss,32,11,30.26962174,70.4247439,,124,3d_truss,32,11,30.26962174,62.97071346
125,3d_truss,12,35,30.26962174,0.344468796,,,125,3d_truss,12,35,30.26962174,58.11289913,,125,3d_truss,12,35,30.26962174,57.76843034
126,3d_truss,34,13,30.26962174,0.344468796,,,126,3d_truss,34,13,30.26962174,58.11289913,,126,3d_truss,34,13,30.26962174,57.76843034
